,index,Region,Association,Country,Player,Clubs,Periods,Number of Clubs,First Year,Final Year,Total Years,Active
272,2327,"North, Central America and Caribbean",CONCACAF,Mexico,Carlos Vela,Arsenal F.C.,,,,,,
273,2340,"North, Central America and Caribbean",CONCACAF,Trinidad and Tobago,Gavin Hoyte,Arsenal F.C.,,,,,,
274,2341,"North, Central America and Caribbean",CONCACAF,Trinidad and Tobago,Justin Hoyte,Arsenal F.C.,,,,,,
275,2352,"North, Central America and Caribbean",CONCACAF,United States,Folarin Balogun,Arsenal F.C.,,,,,,
276,2425,South America,CONMEBOL,Argentina,Fabián Caballero,Arsenal F.C.,,,,,,
277,2460,South America,CONMEBOL,Argentina,Emiliano Martínez,Arsenal F.C.,,,,,,
278,2489,South America,CONMEBOL,Argentina,Nelson Vivas,Arsenal F.C.,,,,,,
279,2504,South America,CONMEBOL,Brazil,Júlio Baptista,Arsenal F.C.,,,,,,
280,2517,South America,CONMEBOL,Brazil,Denílson,Arsenal F.C.,,,,,,
281,2523,South America,CONMEBOL,Brazil,Edu,Arsenal F.C.,,,,,,
282,2540,South America,CONMEBOL,Brazil,Gabriel Magalhães,Arsenal F.C.,,,,,,
283,2541,South America,CONMEBOL,Brazil,Gabriel Martinelli,Arsenal F.C.,,,,,,
284,2542,South America,CONMEBOL,Brazil,Gabriel Paulista,Arsenal F.C.,,,,,,
285,2545,South America,CONMEBOL,Brazil,Gilberto Silva,Arsenal F.C.,,,,,,
286,2572,South America,CONMEBOL,Brazil,Marquinhos,Arsenal F.C.,,,,,,
287,2597,South America,CONMEBOL,Brazil,André Santos,Arsenal F.C.,,,,,,
288,2602,South America,CONMEBOL,Brazil,Sylvinho,Arsenal F.C.,,,,,,
289,2623,South America,CONMEBOL,Chile,Alexis Sánchez,Arsenal F.C.,,,,,,
290,2642,South America,CONMEBOL,Colombia,David Ospina,Arsenal F.C.,,,,,,
291,2704,South America,CONMEBOL,Uruguay,Lucas Torreira,Arsenal F.C.,,,,,,
